time,WMA_daily_5_close,Company
2021-07-01,151.05,ABNB
2021-06-30,149.994,ABNB
2021-06-29,148.814,ABNB
2021-06-28,150.2273,ABNB
2021-06-25,150.338,ABNB
2021-06-24,150.7287,ABNB
2021-06-23,150.764,ABNB
2021-06-22,150.354,ABNB
2021-06-21,150.7173,ABNB
2021-06-18,151.0413,ABNB
2021-06-17,150.1533,ABNB
2021-06-16,149.5667,ABNB
2021-06-15,149.21,ABNB
2021-06-14,147.6587,ABNB
2021-06-11,146.948,ABNB
2021-06-10,146.6467,ABNB
2021-06-09,146.99,ABNB
2021-06-08,148.1667,ABNB
2021-06-07,148.4433,ABNB
2021-06-04,147.4953,ABNB
2021-06-03,145.4567,ABNB
2021-06-02,144.9687,ABNB
2021-06-01,141.0767,ABNB
2021-05-28,138.8547,ABNB
2021-05-27,137.5567,ABNB
2021-05-26,134.8707,ABNB
2021-05-25,135.2207,ABNB
2021-05-24,135.8927,ABNB
2021-05-21,135.6973,ABNB
2021-05-20,136.3347,ABNB
2021-05-19,136.4453,ABNB
2021-05-18,136.03,ABNB
2021-05-17,137.1853,ABNB
2021-05-14,140.1293,ABNB
2021-05-13,140.8407,ABNB
2021-05-12,144.5613,ABNB
2021-05-11,148.254,ABNB
2021-05-10,152.8647,ABNB
2021-05-07,157.5673,ABNB
2021-05-06,162.21,ABNB
2021-05-05,167.6453,ABNB
2021-05-04,171.362,ABNB
2021-05-03,173.4913,ABNB
2021-04-30,176.3353,ABNB
2021-04-29,177.7487,ABNB
2021-04-28,177.0407,ABNB
2021-04-27,174.6973,ABNB
2021-04-26,172.4827,ABNB
2021-04-23,171.268,ABNB
2021-04-22,170.5593,ABNB
2021-04-21,171.34,ABNB
2021-04-20,173.958,ABNB
2021-04-19,176.3013,ABNB
2021-04-16,177.102,ABNB
2021-04-15,176.5867,ABNB
2021-04-14,177.5067,ABNB
2021-04-13,178.3007,ABNB
2021-04-12,179.3933,ABNB
2021-04-09,181.6527,ABNB
2021-04-08,183.4913,ABNB
2021-04-07,185.6207,ABNB
2021-04-06,188.0407,ABNB
2021-04-05,186.5953,ABNB
2021-04-01,185.444,ABNB
2021-03-31,182.9707,ABNB
2021-03-30,179.9913,ABNB
2021-03-29,178.8947,ABNB
2021-03-26,178.8313,ABNB
2021-03-25,182.8007,ABNB
2021-03-24,187.2027,ABNB
2021-03-23,192.2087,ABNB
2021-03-22,195.3093,ABNB
2021-03-19,196.7893,ABNB
2021-03-18,199.296,ABNB
2021-03-17,203.2107,ABNB
2021-03-16,202.6507,ABNB
2021-03-15,201.414,ABNB
2021-03-12,194.9053,ABNB
2021-03-11,187.6847,ABNB
2021-03-10,182.2447,ABNB
2021-03-09,181.272,ABNB
2021-03-08,180.9787,ABNB
2021-03-05,182.4927,ABNB
2021-03-04,186.1093,ABNB
2021-03-03,189.708,ABNB
2021-03-02,194.57,ABNB
2021-03-01,196.1113,ABNB
2021-02-26,195.4073,ABNB
2021-02-25,191.0413,ABNB
2021-02-24,195.8373,ABNB
2021-02-23,194.704,ABNB
2021-02-22,199.2587,ABNB
2021-02-19,202.386,ABNB
2021-02-18,204.6547,ABNB
2021-02-17,208.8413,ABNB
2021-02-16,211.5827,ABNB
2021-02-12,211.062,ABNB
2021-02-11,208.4433,ABNB
2021-02-10,203.0353,ABNB
2021-02-09,197.6247,ABNB
2021-02-08,194.76,ABNB
2021-02-05,190.3793,ABNB
2021-02-04,186.9267,ABNB
2021-02-03,182.7487,ABNB
2021-02-02,182.966,ABNB
2021-02-01,186.2713,ABNB
2021-01-29,188.9593,ABNB
2021-01-28,190.4667,ABNB
2021-01-27,190.2627,ABNB
2021-01-26,182.804,ABNB
2021-01-25,176.912,ABNB
2021-01-22,175.5393,ABNB
2021-01-21,172.6287,ABNB
2021-01-20,169.514,ABNB
2021-01-19,172.5207,ABNB
2021-01-15,169.87,ABNB
2021-01-14,167.3927,ABNB
2021-01-13,159.2233,ABNB
2021-01-12,152.7427,ABNB
2021-01-11,148.492,ABNB
2021-01-08,147.866,ABNB
2021-01-07,146.4953,ABNB
2021-01-06,144.4353,ABNB
2021-01-05,145.6907,ABNB
2021-01-04,145.1493,ABNB
2020-12-31,148.704,ABNB
2020-12-30,150.456,ABNB
2020-12-29,152.6487,ABNB
2020-12-28,155.186,ABNB
2020-12-24,158.61,ABNB
2020-12-23,159.568,ABNB
2020-12-22,158.1347,ABNB
2020-12-21,152.4153,ABNB
2020-12-18,144.5513,ABNB
2020-12-17,137.3907,ABNB
2020-12-16,133.4907,ABNB
2024-11-07,116.7193,ABT
2024-11-06,117.2293,ABT
2024-11-05,117.0827,ABT
2024-11-04,116.3373,ABT
2024-11-01,115.38,ABT
2024-10-31,113.814,ABT
2024-10-30,114.2027,ABT
2024-10-29,114.402,ABT
2024-10-28,115.1327,ABT
2024-10-25,115.8347,ABT
2024-10-24,116.8313,ABT
2024-10-23,117.1447,ABT
2024-10-22,117.3553,ABT
2024-10-21,117.858,ABT
2024-10-18,118.0511,ABT
2024-10-17,117.1897,ABT
