time,WMA_daily_5_close,Company,WMA_daily_10_close,"FAMA_MAMA_daily_close_(0.1, 0.1)","MAMA_daily_close_(0.1, 0.1)","FAMA_MAMA_daily_close_(0.25, 0.25)","MAMA_daily_close_(0.25, 0.25)"
2009-09-01,15.6042,ABT,15.6522,15.42,15.5114,15.4898,15.5967
2009-09-02,15.514,ABT,15.6099,15.424,15.5011,15.4973,15.5497
2009-09-03,15.4551,ABT,15.5724,15.4275,15.4939,15.5001,15.5195
2009-09-04,15.4966,ABT,15.5718,15.4315,15.5069,15.5058,15.5457
2009-09-08,15.5768,ABT,15.5871,15.4363,15.5283,15.5162,15.5893
2009-09-09,15.6927,ABT,15.6315,15.4426,15.5629,15.5343,15.6605
2009-09-10,15.8386,ABT,15.7049,15.4511,15.6114,15.5622,15.7576
2009-09-11,15.9372,ABT,15.7709,15.4612,15.6538,15.5953,15.827
2009-09-14,16.0525,ABT,15.8665,15.4736,15.7091,15.6361,15.9218
2009-09-15,16.1016,ABT,15.9385,15.4875,15.7506,15.6781,15.9724
2009-09-16,16.0815,ABT,15.9759,15.5019,15.7753,15.7157,15.9787
2009-09-17,16.0121,ABT,15.9808,15.516,15.7852,15.7453,15.9526
2009-09-18,15.9098,ABT,15.9531,15.5293,15.7807,15.7646,15.8996
2009-09-21,15.89,ABT,15.9539,15.5426,15.7955,15.7824,15.9069
2009-09-22,15.9126,ABT,15.9622,15.5562,15.8161,15.8009,15.9304
2009-09-23,15.8749,ABT,15.9281,15.5691,15.814,15.8129,15.8967
2009-09-24,15.9431,ABT,15.9459,15.5827,15.8399,15.8288,15.9407
2009-09-25,16.0427,ABT,15.9874,15.5974,15.8765,15.8511,16.0071
2009-09-28,16.2538,ABT,16.1037,15.6151,15.9523,15.8902,16.1639
2009-09-29,16.4773,ABT,16.2446,15.6363,16.0383,15.9447,16.326
2009-09-30,16.6889,ABT,16.396,15.6609,16.1284,16.0115,16.4793
2009-10-01,16.7341,ABT,16.4811,15.687,16.1824,16.0759,16.5266
2009-10-02,16.872,ABT,16.624,15.7161,16.2708,16.1491,16.6614
2009-10-05,17.0085,ABT,16.7733,15.7487,16.367,16.231,16.8045
2009-10-06,17.0879,ABT,16.8895,15.7837,16.4486,16.3145,16.8989
2009-10-07,17.1267,ABT,16.9756,15.8204,16.5171,16.3949,16.9577
2009-10-08,17.1605,ABT,17.0416,15.8584,16.5812,16.4715,17.0079
2009-10-09,17.1582,ABT,17.0861,15.8974,16.6379,16.543,17.0429
2009-10-12,17.1414,ABT,17.1084,15.9368,16.6862,16.6079,17.0623
2009-10-13,17.1377,ABT,17.1251,15.9765,16.7313,16.667,17.0812
2009-10-14,17.3154,ABT,17.233,16.019,16.8255,16.7373,17.229
2009-10-15,17.5388,ABT,17.3722,16.0648,16.9347,16.8203,17.4012
2009-10-16,17.6564,ABT,17.4586,16.1124,17.0164,16.9039,17.4889
2009-10-19,17.8257,ABT,17.5827,16.1626,17.1176,16.9939,17.6238
2009-10-20,17.892,ABT,17.6691,16.2143,17.1959,17.0812,17.693
2009-10-21,17.8257,ABT,17.6979,16.2657,17.2419,17.1565,17.6836
2009-10-22,17.878,ABT,17.7813,16.3183,17.3184,17.2325,17.7646
2009-10-23,17.8253,ABT,17.7952,16.3703,17.3577,17.2974,17.7511
2009-10-26,17.727,ABT,17.7726,16.4207,17.3785,17.3483,17.7048
2009-10-27,17.6976,ABT,17.7625,16.4701,17.4086,17.3921,17.6985
2009-10-28,17.6598,ABT,17.7301,16.518,17.4288,17.4276,17.6765
2009-10-29,17.6067,ABT,17.6887,16.5642,17.4414,17.4549,17.6462
2009-10-30,17.5503,ABT,17.6357,16.6081,17.4428,17.4729,17.5985
2009-11-02,17.5501,ABT,17.6095,16.6505,17.4558,17.4878,17.592
2009-11-03,17.4941,ABT,17.5614,16.6905,17.4509,17.495,17.5457
2009-11-04,17.5116,ABT,17.5525,16.7291,17.4631,17.5022,17.5525
2009-11-05,17.6133,ABT,17.5896,16.7676,17.4985,17.5168,17.6188
2009-11-06,17.6872,ABT,17.6245,16.8056,17.5273,17.5348,17.6607
2009-11-09,17.8333,ABT,17.7094,16.8444,17.5816,17.5633,17.763
2009-11-10,17.9981,ABT,17.8135,16.8845,17.6459,17.6027,17.8785
2009-11-11,18.1612,ABT,17.9365,16.9262,17.7197,17.6529,18.0048
2009-11-12,18.2669,ABT,18.0436,16.9692,17.7851,17.7084,18.0969
2009-11-13,18.3032,ABT,18.1182,17.0124,17.8342,17.7626,18.1419
2009-11-16,18.3851,ABT,18.2205,17.0569,17.902,17.8216,18.2343
2009-11-17,18.4008,ABT,18.2857,17.1017,17.9519,17.8784,18.276
